Country,Indicators,,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFGHANISTAN,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ALBANIA,Guests,,Thousands,,,,,,,,,,,,,,,,,,,767.0,785.0,294.0,685.0,887.0
ALBANIA,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,2144.0,2150.0,805.0,2031.0,2492.0
ALBANIA,hotel_guests,,Thousands,32.0,34.0,36.0,41.0,34.0,57.0,63.0,67.0,57.0,65.0,74.0,136.0,149.0,118.0,161.0,257.0,,,691.0,736.0,281.0,657.0,846.0
ALBANIA,hotel_overnights,,Thousands,98.0,92.0,143.0,136.0,90.0,130.0,137.0,173.0,131.0,170.0,185.0,356.0,352.0,215.0,259.0,484.0,,,1894.0,1987.0,748.0,1932.0,2358.0
ALGERIA,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ALGERIA,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ALGERIA,hotel_guests,,Thousands,,,,,,,,,,,,,,,,443.0,589.0,790.0,834.0,851.0,347.0,,202.0
ALGERIA,hotel_overnights,,Thousands,203.0,226.0,292.0,376.0,394.0,483.0,528.0,574.0,596.0,674.0,754.0,845.0,937.0,994.0,838.0,839.0,993.0,1315.0,1345.0,1401.0,540.0,,394.0
AMERICAN SAMOA,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AMERICAN SAMOA,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AMERICAN SAMOA,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AMERICAN SAMOA,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANDORRA,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANDORRA,Overnights,,Thousands,8628.0,9809.0,9336.0,7745.0,7322.0,6762.0,6284.0,6512.0,5900.0,4778.0,5230.0,6515.0,6636.0,6976.0,6780.0,8111.0,8301.0,8738.0,8906.0,8888.0,5796.0,5051.5,10422.2
ANDORRA,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANDORRA,hotel_overnights,,Thousands,,,6765.0,5581.0,5525.0,5199.0,4911.0,4644.0,4298.0,3522.0,3800.0,4579.0,4705.0,4882.0,4654.0,5207.0,5265.0,5608.0,5486.0,5669.0,3151.0,2779.0,6486.3
ANGOLA,Guests,,Thousands,,,,,99.0,127.0,83.0,122.0,185.0,454.0,465.0,533.0,569.0,652.0,567.0,545.0,371.0,600.0,782.0,600.0,30.0,83.0,424.0
ANGOLA,Overnights,,Thousands,77.0,112.0,207.0,217.0,149.0,182.0,231.0,340.0,386.0,1899.0,2856.0,1436.0,1429.0,1754.0,1769.0,1612.0,1478.0,1432.0,1344.0,904.0,57.0,146.0,721.0
ANGOLA,hotel_guests,,Thousands,,,,,92.0,120.0,64.0,91.0,126.0,288.0,319.0,401.0,422.0,481.0,409.0,400.0,264.0,339.0,428.0,339.0,20.0,67.0,275.0
ANGOLA,hotel_overnights,,Thousands,,,183.0,212.0,143.0,176.0,199.0,292.0,260.0,1054.0,2544.0,1155.0,1119.0,1372.0,1230.0,1198.0,946.0,846.0,564.0,478.0,40.0,120.0,482.0
ANGUILLA,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANGUILLA,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANGUILLA,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANGUILLA,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANTIGUA AND BARBUDA,Guests,,Thousands,,,,,246.0,245.0,254.0,262.0,266.0,234.0,230.0,241.0,247.0,243.0,249.0,250.0,265.0,247.0,269.0,301.0,125.1,169.0,265.0
ANTIGUA AND BARBUDA,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANTIGUA AND BARBUDA,hotel_guests,,Thousands,,,,,185.0,179.0,182.0,188.0,196.0,177.0,178.0,189.0,,199.0,,,216.0,,219.0,242.0,106.0,151.0,222.0
ANTIGUA AND BARBUDA,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ARGENTINA,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ARGENTINA,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ARGENTINA,hotel_guests,,Thousands,,,,,,4065.0,,4712.0,4523.0,3876.0,4800.0,4813.0,4311.0,4089.0,4292.0,3825.0,3843.0,4081.0,4280.0,4799.0,1186.0,221.0,2684.0
ARGENTINA,hotel_overnights,,Thousands,,,,,,9482.0,9782.0,10905.0,10573.0,8955.0,11537.0,11170.0,10111.0,9737.0,10299.0,9067.0,8900.0,9496.0,9921.0,10916.0,2659.0,508.0,6391.0
ARMENIA,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ARMENIA,Overnights,,Thousands,151.0,200.0,202.0,343.0,385.0,420.0,840.0,1780.0,2500.0,4025.0,6830.0,7580.0,9632.0,10842.0,11500.0,10073.0,12597.0,14947.0,16517.0,18943.0,,,
ARMENIA,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ARMENIA,hotel_overnights,,Thousands,,,,,,,,,,,2322.0,,,,,,,,,,,,
ARUBA,Guests,,Thousands,721.0,691.0,643.0,642.0,728.0,733.0,694.0,772.0,827.0,813.0,824.0,869.0,904.0,979.0,1072.0,1225.0,1102.0,1070.5,1082.0,1119.0,358.0,807.0,1101.0
ARUBA,Overnights,,Thousands,5248.0,5145.0,4863.0,5098.0,5640.0,5695.0,5471.0,5879.0,6268.0,6173.0,6466.0,6686.0,6907.0,7127.0,7693.0,8330.0,7976.0,7967.0,8070.0,8248.0,2896.0,6009.0,7992.0
ARUBA,hotel_guests,,Thousands,629.0,611.0,567.0,568.0,647.0,653.0,619.0,688.0,728.0,719.0,728.0,736.0,764.0,797.0,815.0,816.0,815.0,848.0,853.0,875.0,279.0,627.0,829.0
ARUBA,hotel_overnights,,Thousands,4249.0,4177.0,3945.0,4059.0,4615.0,4735.0,4515.0,4904.0,5170.0,5139.0,5273.0,5255.0,5433.0,5504.0,5614.0,5670.0,5688.0,5907.0,5961.0,5945.0,2035.0,4344.0,5656.0
AUSTRALIA,Guests,,Thousands,,,,,,,,,3900.0,3703.0,3874.0,3725.0,3821.0,4011.0,4223.0,4484.0,5080.0,5389.0,5554.0,5574.0,1068.0,185.0,1606.0
AUSTRALIA,Overnights,,Thousands,,,,,,,,,41678.0,41001.0,40006.0,39232.0,41093.0,41884.0,42112.0,42965.0,45612.0,47160.0,46178.0,46417.0,11964.0,12033.0,15387.0
AUSTRALIA,hotel_guests,,Thousands,,,,,,,,,3008.0,2800.0,2964.0,2875.0,2966.0,3130.0,3357.0,3605.0,4099.0,4341.0,4503.0,4515.0,827.0,183.0,1324.0
AUSTRALIA,hotel_overnights,,Thousands,,,,,,,,,23509.0,22172.0,22649.0,22193.0,22548.0,22779.0,24612.0,26354.0,29265.0,29985.0,30299.0,30087.0,8219.0,11996.0,10345.0
AUSTRIA,Guests,,Thousands,17982.0,18180.0,18611.0,19078.0,19374.0,19952.0,20269.0,20773.0,21935.0,21355.0,22004.0,23012.0,24151.0,24813.0,25291.0,26728.0,28121.0,29460.0,30816.0,31884.0,15091.0,12728.0,26215.0
AUSTRIA,Overnights,,Thousands,82534.0,83669.0,85792.0,86348.0,85922.0,87741.0,87274.0,88443.0,92840.0,89864.0,89857.0,90706.0,95052.0,96874.0,96233.0,98824.0,102863.0,105977.0,110430.0,112765.0,66280.0,49964.0,98031.0
AUSTRIA,hotel_guests,,Thousands,13240.0,13279.0,13487.0,13748.0,14076.0,14542.0,14951.0,15348.0,16091.0,15520.0,16170.0,16972.0,17728.0,18164.0,18588.0,19633.0,20434.0,21338.0,22026.0,22662.0,9570.0,8392.0,17592.0
AUSTRIA,hotel_overnights,,Thousands,53617.0,54086.0,55167.0,55200.0,55163.0,56690.0,57133.0,57882.0,60469.0,57798.0,58315.0,59147.0,61360.0,62137.0,61830.0,63355.0,65244.0,66642.0,68331.0,69375.0,36389.0,28397.0,57283.0
AZERBAIJAN,Guests,,Thousands,,,,,,,,,,,,,,,,,,,2389.0,2569.0,,,964.0
AZERBAIJAN,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,11476.0,11853.0,,,4331.0
AZERBAIJAN,hotel_guests,,Thousands,,69.0,61.0,78.0,99.0,130.0,151.0,153.0,224.0,209.0,212.0,258.0,372.0,395.0,393.0,496.0,777.0,981.0,1234.0,1317.0,267.0,272.0,908.0
