Country,Indicators,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFGHANISTAN,Total arrivals,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,Overnights visitors (tourists),Thousands,,,,,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,Same-day visitors (excursionists),Thousands,,,,,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,"of which, cruise passengers",Thousands,,,,,,,,,,,,,,,,,,,,,,,
ALBANIA,Total arrivals,Thousands,317.0,354.0,470.0,557.0,645.0,748.0,937.0,1127.0,1420.0,1856.0,2417.0,2932.0,3514.0,3256.0,3673.0,4131.0,4736.0,5118.0,5927.0,6406.0,2658.0,5689.0,7543.8
ALBANIA,Overnights visitors (tourists),Thousands,,,,,,,,1062.0,1247.0,1711.0,2191.0,2469.0,3156.0,2857.0,3341.0,3784.0,4070.0,4643.0,5340.0,6128.0,2604.0,5515.0,7104.7
ALBANIA,Same-day visitors (excursionists),Thousands,,,,,,,,65.0,83.0,64.0,52.0,67.0,71.0,220.0,127.0,162.0,507.0,293.0,587.0,278.0,54.0,174.0,439.1
ALBANIA,"of which, cruise passengers",Thousands,,,,,,,,,,,,,,,,,,,,,,,
ALGERIA,Total arrivals,Thousands,866.0,901.0,988.0,1166.0,1234.0,1443.0,1638.0,1743.0,1772.0,1912.0,2070.0,2395.0,2634.0,2733.0,2301.0,1710.0,2039.0,2451.0,2657.0,2371.0,591.0,125.0,1398.0
ALGERIA,Overnights visitors (tourists),Thousands,,,,,,,,,,,,,,,,,,,,,,,
ALGERIA,Same-day visitors (excursionists),Thousands,,,,,,,,,,,,,,,,,,,,,,,
ALGERIA,"of which, cruise passengers",Thousands,,,,,,,,,,,,,,,,,,,,,,,
AMERICAN SAMOA,Total arrivals,Thousands,,,,,,,,,,,40.3,41.3,50.2,49.3,51.6,47.1,38.3,42.3,51.8,58.6,,,
AMERICAN SAMOA,Overnights visitors (tourists),Thousands,44.0,36.0,,,,24.5,25.3,24.1,24.3,23.5,23.1,22.6,22.6,20.8,21.6,20.3,20.1,20.0,20.2,19.2,0.9,,
