Country,Years,Overnights visitors (tourists) (Thousands),Same-day visitors (excursionists) (Thousands),Total trips (Thousands)
ARGENTINA,2006,20706.0,18144.0,38850.0
ARGENTINA,2012,52972.0,63839.0,116812.0
ARGENTINA,2013,53681.0,63277.0,116957.0
ARGENTINA,2014,50270.0,51600.0,101870.0
ARGENTINA,2015,45481.0,47046.0,92526.0
ARGENTINA,2016,43399.0,58458.0,101857.0
ARGENTINA,2017,51438.0,45157.0,96595.0
ARGENTINA,2018,45498.0,44423.0,89921.0
ARGENTINA,2019,45349.0,44160.0,89509.0
ARGENTINA,2020,19466.0,17232.0,36698.0
ARGENTINA,2021,30265.0,38939.0,69205.0
ARGENTINA,2022,50330.9,62801.6,113132.4
ARMENIA,2008,447.0,,
ARMENIA,2009,436.0,,
ARMENIA,2010,565.0,,
ARMENIA,2011,489.0,,
ARMENIA,2012,515.0,,
ARMENIA,2013,670.0,,
ARMENIA,2014,860.0,,
ARMENIA,2015,871.0,,
ARMENIA,2016,980.0,,
ARMENIA,2017,1087.0,,
ARMENIA,2018,1092.0,,
ARMENIA,2019,1545.0,,
ARMENIA,2020,1045.0,,
ARMENIA,2021,1596.0,,
ARMENIA,2022,1930.0,,
AUSTRALIA,2000,73771.0,161464.0,235235.0
AUSTRALIA,2001,74585.0,146008.0,220593.0
AUSTRALIA,2002,75339.0,142133.0,217472.0
AUSTRALIA,2003,73621.0,139060.0,212681.0
AUSTRALIA,2004,74301.0,129568.0,203869.0
AUSTRALIA,2005,69924.0,130120.0,200044.0
AUSTRALIA,2006,73564.0,134464.0,208028.0
AUSTRALIA,2007,74464.0,149516.0,223980.0
AUSTRALIA,2008,72009.0,138745.0,210754.0
AUSTRALIA,2009,67670.0,148176.0,215846.0
AUSTRALIA,2010,69297.0,155942.0,225239.0
AUSTRALIA,2011,71895.0,161232.0,233127.0
AUSTRALIA,2012,74472.0,173905.0,248377.0
AUSTRALIA,2013,75796.0,164322.0,240118.0
AUSTRALIA,2014,84481.0,175881.0,260362.0
AUSTRALIA,2015,87523.0,181958.0,269481.0
AUSTRALIA,2016,90742.0,189583.0,280325.0
AUSTRALIA,2017,98484.0,193313.0,291797.0
AUSTRALIA,2018,104822.0,205344.0,310166.0
AUSTRALIA,2019,117448.0,248349.0,365797.0
AUSTRALIA,2020,72514.0,164192.0,236706.0
AUSTRALIA,2021,82074.0,160469.0,242543.0
