Country,Indicators,,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFGHANISTAN,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ALBANIA,Guests,,Thousands,,,,,,,,,,,,,,,,,,,476.0,469.0,372.0,546.0,683.0
ALBANIA,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,931.0,1104.0,800.0,1155.0,1339.0
ALBANIA,hotel_guests,,Thousands,133.0,136.0,135.0,131.0,42.0,56.0,67.0,104.0,156.0,171.0,181.0,182.0,101.0,106.0,136.0,171.0,,,421.0,430.0,350.0,517.0,644.0
ALBANIA,hotel_overnights,,Thousands,228.0,303.0,389.0,400.0,153.0,214.0,323.0,375.0,360.0,370.0,425.0,445.0,238.0,179.0,199.0,307.0,,,804.0,1015.0,730.0,1077.0,1238.0
ALGERIA,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ALGERIA,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ALGERIA,hotel_guests,,Thousands,,,,,,,,,,,,,,,,3773.0,3731.0,3634.0,3679.0,3719.0,1389.0,,2848.0
ALGERIA,hotel_overnights,,Thousands,2603.0,4028.0,2959.0,3948.0,4149.0,4222.0,4376.0,4546.0,4751.0,4971.0,5185.0,5484.0,5704.0,5927.0,6216.0,6307.0,6284.0,6091.0,6221.0,6290.0,2161.0,,4980.0
AMERICAN SAMOA,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AMERICAN SAMOA,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AMERICAN SAMOA,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AMERICAN SAMOA,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANDORRA,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANDORRA,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANDORRA,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANDORRA,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANGOLA,Guests,,Thousands,,,,,90.0,86.0,53.0,94.0,124.0,332.0,397.0,373.0,413.0,496.0,574.0,726.0,376.0,365.0,715.0,741.0,265.0,299.0,719.0
ANGOLA,Overnights,,Thousands,11.0,11.0,133.0,124.0,87.0,124.0,79.0,118.0,139.0,1088.0,1297.0,1251.0,1347.0,1475.0,1810.0,1971.0,1534.0,1470.0,1678.0,1030.0,378.0,554.0,1488.0
ANGOLA,hotel_guests,,Thousands,,,,,48.0,47.0,36.0,59.0,28.0,96.0,152.0,251.0,281.0,337.0,369.0,264.0,130.0,111.0,264.0,240.0,196.0,216.0,421.0
ANGOLA,hotel_overnights,,Thousands,,,34.0,78.0,61.0,72.0,54.0,73.0,41.0,451.0,758.0,688.0,734.0,754.0,992.0,870.0,953.0,835.0,707.0,415.0,257.0,359.0,975.0
ANGUILLA,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANGUILLA,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANGUILLA,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANGUILLA,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANTIGUA AND BARBUDA,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANTIGUA AND BARBUDA,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANTIGUA AND BARBUDA,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANTIGUA AND BARBUDA,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ARGENTINA,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ARGENTINA,Overnights,,Thousands,,,,,,,,,,,,,277046.0,284238.0,260403.0,266614.0,241051.0,264333.0,238463.0,228299.0,121155.0,146627.0,236708.0
ARGENTINA,hotel_guests,,Thousands,,,,,,11813.0,,15088.0,14674.0,13588.0,14530.0,15248.0,15384.0,14993.0,15078.0,15708.0,15523.0,16763.0,16330.0,16289.0,4669.0,10389.0,16604.0
ARGENTINA,hotel_overnights,,Thousands,,,,,,28569.0,32965.0,35608.0,34278.0,31043.0,34447.0,35992.0,36611.0,35368.0,36096.0,37569.0,37006.0,38521.0,38572.0,38239.0,13313.0,26314.0,42041.0
ARMENIA,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ARMENIA,Overnights,,Thousands,,468.0,726.0,975.0,1200.0,1350.0,1540.0,2583.0,3129.0,3924.0,5875.0,5868.0,6180.0,8034.0,10320.0,10462.0,11760.0,13044.0,13104.0,18540.0,,19152.0,19263.0
ARMENIA,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ARMENIA,hotel_overnights,,Thousands,,,,,,,308.0,,,,,,,,,,,,,,,,
ARUBA,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ARUBA,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ARUBA,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ARUBA,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AUSTRALIA,Guests,,Thousands,30612.0,31318.0,32142.0,31521.0,32527.0,31020.0,31863.0,33944.0,32806.0,31155.0,32347.0,33229.0,33258.0,33937.0,37067.0,38505.0,39336.0,42752.0,44390.0,48492.0,25177.0,30856.0,47026.0
AUSTRALIA,Overnights,,Thousands,100247.0,102638.0,103484.0,106488.0,107223.0,103003.0,106750.0,114249.0,107749.0,103354.0,105526.0,106579.0,104429.0,104247.0,116368.0,118048.0,123368.0,127202.0,135128.0,146174.0,82037.0,103021.0,151855.0
AUSTRALIA,hotel_guests,,Thousands,24999.0,25747.0,26005.0,25926.0,26964.0,26196.0,26685.0,28271.0,27387.0,25667.0,26628.0,27513.0,27421.0,27896.0,29635.0,31072.0,31837.0,35251.0,36591.0,40088.0,19102.0,23403.0,37727.0
AUSTRALIA,hotel_overnights,,Thousands,71297.0,74146.0,73791.0,75845.0,78959.0,77278.0,77373.0,83008.0,78858.0,73339.0,74840.0,77112.0,74115.0,74742.0,82466.0,83993.0,87120.0,91877.0,99596.0,105157.0,54489.0,69470.0,110503.0
AUSTRIA,Guests,,Thousands,8396.0,8714.0,8749.0,9056.0,9092.0,9385.0,9874.0,10367.0,10681.0,10961.0,11385.0,11617.0,12013.0,12034.0,12265.0,12697.0,13343.0,13619.0,14033.0,14312.0,9939.0,9416.0,13580.0
AUSTRIA,Overnights,,Thousands,31153.0,31442.0,31013.0,31619.0,31329.0,31501.0,32130.0,33008.0,33879.0,34443.0,35024.0,35297.0,35964.0,35755.0,35668.0,36425.0,38014.0,38523.0,39390.0,39944.0,31596.0,29599.0,38881.0
AUSTRIA,hotel_guests,,Thousands,5956.0,6262.0,6286.0,6437.0,6600.0,6896.0,7400.0,7875.0,8119.0,8323.0,8804.0,8966.0,9310.0,9366.0,9574.0,9862.0,10331.0,10576.0,10912.0,11144.0,7236.0,7042.0,10505.0
AUSTRIA,hotel_overnights,,Thousands,18031.0,18468.0,18356.0,18667.0,18850.0,19383.0,20278.0,21285.0,21902.0,22273.0,23029.0,23180.0,23762.0,23635.0,23482.0,23941.0,24841.0,24971.0,25559.0,25892.0,19243.0,18166.0,25111.0
AZERBAIJAN,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AZERBAIJAN,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,108552.0,117144.0,24261.0,54443.0,67304.0
AZERBAIJAN,hotel_guests,,Thousands,,44.0,56.0,69.0,114.0,134.0,141.0,152.0,207.0,215.0,226.0,252.0,253.0,271.0,280.0,342.0,345.0,433.0,515.0,603.0,401.0,901.0,789.0
AZERBAIJAN,hotel_overnights,,Thousands,,51.0,117.0,152.0,415.0,525.0,558.0,558.0,724.0,754.0,790.0,831.0,838.0,853.0,885.0,685.0,719.0,886.0,953.0,1104.0,583.0,1374.0,1253.0
BAHAMAS,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BAHAMAS,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BAHAMAS,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BAHAMAS,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BAHRAIN,Guests,,Thousands,,,,,,,,,,,,,,,,,76.0,67.0,117.0,138.0,134.0,187.0,
BAHRAIN,Overnights,,Thousands,,,,,,,,,,,,,,,,,103.0,91.0,145.0,171.0,345.0,561.0,
