Country,Indicators,,,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFGHANISTAN,Tourism expenditure in the country,,,US$ Millions,,,,,,,,,57.0,89.0,147.0,165.0,167.0,179.0,121.0,86.0,62.0,16.0,50.0,85.0,75.0,,
AFGHANISTAN,Travel,,,US$ Millions,,,,,,,,,17.0,36.0,75.0,85.0,102.0,138.0,109.0,79.0,49.0,2.0,28.0,72.0,65.0,,
AFGHANISTAN,Passenger transport,,,US$ Millions,,,,,,,,,40.0,53.0,72.0,80.0,65.0,41.0,12.0,7.0,13.0,14.0,22.0,13.0,10.0,,
ALBANIA,Tourism expenditure in the country,,,US$ Millions,398.0,451.0,492.0,537.0,756.0,880.0,1057.0,1479.0,1850.0,2013.0,1778.0,1833.0,1623.0,1670.0,1849.0,1613.0,1821.0,2050.0,2306.0,2458.0,1243.0,2480.0,3255.1
ALBANIA,Travel,,,US$ Millions,389.0,446.0,487.0,522.0,735.0,854.0,1012.0,1378.0,1715.0,1828.0,1611.0,1632.0,1463.0,1473.0,1700.0,1499.0,1693.0,1943.0,2186.0,2329.0,1134.0,2257.0,2957.1
ALBANIA,Passenger transport,,,US$ Millions,9.0,5.0,5.0,15.0,21.0,26.0,45.0,101.0,135.0,185.0,167.0,201.0,160.0,197.0,149.0,114.0,128.0,107.0,120.0,129.0,109.0,223.0,298.0
ALGERIA,Tourism expenditure in the country,,,US$ Millions,,,,,,477.0,393.0,334.0,473.0,361.0,324.0,300.0,295.0,326.0,316.0,347.0,246.0,171.0,196.0,140.0,50.0,78.80000000000001,219.1
ALGERIA,Travel,,,US$ Millions,102.0,100.0,111.0,112.0,178.0,184.0,220.0,219.0,323.0,246.0,220.0,209.0,217.0,250.0,258.0,311.0,209.0,141.0,168.0,112.0,43.0,71.4,175.7
ALGERIA,Passenger transport,,,US$ Millions,,,,,,293.0,173.0,115.0,150.0,115.0,104.0,91.0,78.0,76.0,58.0,36.0,37.0,30.0,28.0,28.0,7.0,7.4,43.4
AMERICAN SAMOA,Tourism expenditure in the country,,,US$ Millions,,,,,,,,,,,,,,,,,,,,,,,
AMERICAN SAMOA,Travel,,,US$ Millions,,,,,,,,,,,,,,,,,22.0,22.0,,,,,
AMERICAN SAMOA,Passenger transport,,,US$ Millions,,,,,,,,,,,,,,,,,,,,,,,
ANDORRA,Tourism expenditure in the country,,,US$ Millions,,,,,,,,,,,,,,,,,,,,1910.0,1351.0,1893.1000000000001,
ANDORRA,Travel,,,US$ Millions,,,,,,,,,,,,,,,,,,,,1897.0,1345.0,1885.4,
ANDORRA,Passenger transport,,,US$ Millions,,,,,,,,,,,,,,,,,,,,13.0,6.0,7.7,
ANGOLA,Tourism expenditure in the country,,,US$ Millions,34.0,35.0,51.0,63.0,82.0,103.0,91.0,236.0,293.0,554.0,726.0,653.0,711.0,1241.0,1597.0,1171.0,628.0,884.0,557.0,395.0,19.0,22.5,24.299999999999997
ANGOLA,Travel,,,US$ Millions,18.0,22.0,37.0,49.0,66.0,88.0,75.0,225.0,285.0,534.0,719.0,646.0,706.0,1234.0,1589.0,1163.0,623.0,880.0,544.0,384.0,16.0,22.0,19.7
ANGOLA,Passenger transport,,,US$ Millions,16.0,13.0,14.0,14.0,16.0,15.0,16.0,11.0,8.0,20.0,7.0,7.0,5.0,7.0,8.0,8.0,5.0,4.0,13.0,11.0,3.0,0.5,4.6
ANGUILLA,Tourism expenditure in the country,,,US$ Millions,,,,,,,,,,,,,,,137.1,142.0,147.0,153.0,127.0,177.0,52.1,63.4,140.0
ANGUILLA,Travel,,,US$ Millions,56.0,62.0,57.0,64.0,69.0,86.0,107.0,115.0,109.0,94.0,99.0,112.0,113.0,122.0,136.0,134.0,136.0,141.0,118.0,168.0,48.1,58.8,134.0
ANGUILLA,Passenger transport,,,US$ Millions,,,,,,,,,,,,,,,1.1,8.0,11.0,12.0,9.0,9.0,4.0,4.6,6.0
ANTIGUA AND BARBUDA,Tourism expenditure in the country,,,US$ Millions,,,,,,,,,,,,,,,803.0,802.0,844.0,820.0,855.0,994.0,430.0,556.0,818.0
ANTIGUA AND BARBUDA,Travel,,,US$ Millions,291.0,272.0,274.0,300.0,337.0,309.0,327.0,338.0,334.0,305.0,298.0,312.0,319.0,299.0,708.0,710.0,753.0,737.0,776.0,904.0,412.0,539.0,773.0
ANTIGUA AND BARBUDA,Passenger transport,,,US$ Millions,,,,,,,,,,,,,,,95.0,92.0,91.0,83.0,79.0,90.0,18.0,17.0,45.0
ARGENTINA,Tourism expenditure in the country,,,US$ Millions,3195.0,2756.0,1716.0,2306.0,2660.0,3209.0,3926.0,5030.0,5273.0,4455.0,5605.0,6058.0,5665.0,5199.0,5645.0,5441.0,5466.0,5830.0,5999.0,5654.0,1793.47,433.0,3694.0
ARGENTINA,Travel,,,US$ Millions,2904.0,2642.0,1535.0,2006.0,2235.0,2729.0,3351.0,4325.0,4664.0,3989.0,4989.0,5431.0,5014.0,4525.0,4960.0,4927.0,4967.0,5370.0,5563.0,5241.0,1727.47,394.0,3474.0
ARGENTINA,Passenger transport,,,US$ Millions,291.0,114.0,181.0,300.0,425.0,480.0,575.0,705.0,609.0,466.0,616.0,627.0,651.0,674.0,685.0,514.0,499.0,460.0,436.0,413.0,66.0,39.0,220.0
ARMENIA,Tourism expenditure in the country,,,US$ Millions,52.0,81.0,81.0,90.0,189.0,243.0,406.0,522.0,564.0,570.0,694.0,762.0,853.0,905.0,994.0,956.0,1037.0,1224.0,1358.0,1553.0,297.0,813.0,2513.1
ARMENIA,Travel,,,US$ Millions,38.0,65.0,63.0,73.0,172.0,223.0,370.0,484.0,518.0,530.0,646.0,722.0,817.0,880.0,966.0,936.0,1017.0,1204.0,1329.0,1528.0,287.0,784.0,2439.1
ARMENIA,Passenger transport,,,US$ Millions,14.0,16.0,18.0,17.0,17.0,20.0,36.0,38.0,46.0,40.0,48.0,40.0,36.0,25.0,28.0,20.0,20.0,20.0,29.0,25.0,10.0,29.0,74.0
ARUBA,Tourism expenditure in the country,,,US$ Millions,850.0,825.0,835.0,858.1,1057.0,1097.0,1064.1,1213.4,1352.0,1223.0,1254.0,1358.0,1412.0,1506.0,1625.0,1659.0,1757.0,1855.0,2035.0,2109.0,1079.0,1788.0,2305.0
ARUBA,Travel,,,US$ Millions,814.0,822.0,834.0,858.0,1057.0,1097.0,1064.0,1213.0,1351.0,1222.0,1251.0,1351.0,1402.0,1495.0,1605.0,1650.0,1757.0,1855.0,2033.0,2104.0,1078.0,1785.0,2303.0
ARUBA,Passenger transport,,,US$ Millions,36.0,3.0,1.0,0.1,,,0.1,0.4,1.0,1.0,3.0,7.0,10.0,11.0,20.0,9.0,,,2.0,5.0,1.0,3.0,2.0
AUSTRALIA,Tourism expenditure in the country,,,US$ Millions,11594.0,11333.0,12148.0,14981.0,18032.0,19719.0,20408.0,25024.0,27189.0,26909.0,31064.0,34315.0,34137.0,35159.0,37996.0,36249.0,39059.0,43990.0,47327.0,47953.0,26235.0,17132.0,24214.0
AUSTRALIA,Travel,,,US$ Millions,9375.0,9222.0,10044.0,12620.0,15212.0,16750.0,17538.0,21774.0,23986.0,24566.0,28472.0,31582.0,31557.0,32887.0,35829.0,34269.0,37019.0,41762.0,45098.0,45729.0,25666.0,17062.0,23199.0
AUSTRALIA,Passenger transport,,,US$ Millions,2219.0,2111.0,2104.0,2361.0,2820.0,2969.0,2870.0,3250.0,3203.0,2343.0,2592.0,2733.0,2580.0,2272.0,2167.0,1980.0,2040.0,2228.0,2229.0,2224.0,569.0,70.0,1015.0
AUSTRIA,Tourism expenditure in the country,,,US$ Millions,11382.0,11511.0,12334.0,15128.0,17251.0,18471.0,,,,,,,,,,20422.0,20965.0,22424.0,25413.0,25932.0,15194.0,11411.0,19175.0
