Country,Indicators,,,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFGHANISTAN,Number of establishments,,,Units,,,,,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,Number of rooms,,,Units,,,,,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,Number of bed-places,,,Units,,,,,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,Occupancy rate / rooms,,,Percent,,,,,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,Occupancy rate / bed-places,,,Percent,,,,,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,Average length of stay,,,Nights,,,,,,,,,,,,,,,,,,,,,,,
ALBANIA,Number of establishments,,,Units,,,,,,,,,,,,,,,,,,,1021.0,1126.0,1237.0,1256.0,1385.0
ALBANIA,Number of rooms,,,Units,,,2283.0,2337.0,2376.0,4341.0,4834.0,6876.0,10112.0,10118.0,14328.0,12428.0,14652.0,14146.0,15081.0,12986.0,17692.0,,30524.0,33798.0,34713.0,35802.0,42464.0
ALBANIA,Number of bed-places,,,Units,,,4532.0,4956.0,5539.0,7583.0,9204.0,14700.0,20539.0,22638.0,25110.0,24301.0,32004.0,29737.0,32879.0,29903.0,41376.0,,69395.0,77974.0,82434.0,85403.0,96986.0
ALBANIA,Occupancy rate / rooms,,,Percent,,,,,,,,,,,,,,,,,,,17.53,21.81,10.59,17.5,18.9
ALBANIA,Occupancy rate / bed-places,,,Percent,,,,,,,,,,,,,,,,,,,19.38,24.41,10.12,17.0,19.0
ALBANIA,Average length of stay,,,Nights,,,,,,,,,,,,,,,,,,,2.43,2.58,2.34,2.6,2.4
ALGERIA,Number of establishments,,,Units,,,,,,,,,,,,,,,,1195.0,1231.0,1289.0,1368.0,1417.0,1449.0,1502.0,1576.0
ALGERIA,Number of rooms,,,Units,,,,,,,,,,,,,,,,,,,,,,,
ALGERIA,Number of bed-places,,,Units,67087.0,66523.0,72567.0,77473.0,82034.0,82808.0,84559.0,84869.0,85000.0,86383.0,92377.0,94021.0,96898.0,98804.0,99605.0,102244.0,107420.0,112264.0,119155.0,125676.0,127614.0,132266.0,145526.0
ALGERIA,Occupancy rate / rooms,,,Percent,,,,,,,,,,,,,,,,,,,,,,,
ALGERIA,Occupancy rate / bed-places,,,Percent,,,,,,,,,,,,,,,,,,,,,,,
ALGERIA,Average length of stay,,,Nights,3.02,3.39,4.02,,,,,,,,,,,,,1.69,1.68,1.68,1.67,1.68,1.61,,2.0
AMERICAN SAMOA,Number of establishments,,,Units,71.0,72.0,72.0,73.0,73.0,,,,,,,,,,,20.0,,26.0,,,,,
AMERICAN SAMOA,Number of rooms,,,Units,143.0,143.0,143.0,243.0,243.0,257.0,,,,,,,,,,266.0,,279.0,,,,,
AMERICAN SAMOA,Number of bed-places,,,Units,222.0,222.0,222.0,341.0,341.0,,,,,,,,,,,,,395.0,,,,,
AMERICAN SAMOA,Occupancy rate / rooms,,,Percent,,,,,,,,,,,,,,,,,,,,,,,
AMERICAN SAMOA,Occupancy rate / bed-places,,,Percent,,,,,,,,,,,,,,,,,,,,,,,
AMERICAN SAMOA,Average length of stay,,,Nights,,,,,,,,,,,,,,,,,,,,,,,
ANDORRA,Number of establishments,,,Units,,,,275.0,294.0,294.0,258.0,267.0,270.0,260.0,258.0,253.0,249.0,243.0,241.0,239.0,235.0,235.0,239.0,230.0,225.0,216.0,226.0
ANDORRA,Number of rooms,,,Units,,,,13722.0,13952.0,14096.0,12677.0,12882.0,13011.0,12613.0,12664.0,12608.0,12506.0,12391.0,12339.0,12134.0,11910.0,11934.0,11998.0,11725.0,11547.0,11335.0,11660.0
ANDORRA,Number of bed-places,,,Units,,,,34522.0,38310.0,38957.0,31515.0,32586.0,34514.0,33700.0,33788.0,33446.0,34271.0,34062.0,34019.0,33613.0,32963.0,33099.0,32903.0,32296.0,31517.0,31211.0,31736.0
ANDORRA,Occupancy rate / rooms,,,Percent,,,,,,,,,,,,,,,,,,,,,,,
ANDORRA,Occupancy rate / bed-places,,,Percent,,,,,,,,,,,,,,,,,,,,,,,
ANDORRA,Average length of stay,,,Nights,2.93,2.85,2.87,2.68,2.62,2.69,2.7,2.87,2.9,2.6,2.9,2.91,2.97,2.99,2.87,3.05,2.94,2.91,2.88,2.88,3.1,2.59,2.93
ANGOLA,Number of establishments,,,Units,,,,,,,50.0,77.0,81.0,87.0,136.0,148.0,161.0,178.0,183.0,196.0,220.0,233.0,238.0,235.0,235.0,229.0,247.0
ANGOLA,Number of rooms,,,Units,6832.0,7897.0,8262.0,9244.0,9358.0,9593.0,2699.0,,,,,,,9156.0,10626.0,11172.0,12950.0,13344.0,13427.0,14323.0,14323.0,14037.0,15728.0
ANGOLA,Number of bed-places,,,Units,9119.0,14060.0,14893.0,10612.0,10736.0,10723.0,7242.0,,,,,,,19121.0,14617.0,15035.0,16411.0,16879.0,17023.0,17902.0,17902.0,16112.0,18590.0
ANGOLA,Occupancy rate / rooms,,,Percent,,,,,,,87.0,92.0,89.0,83.0,89.0,73.0,83.0,86.0,85.8,88.3,78.1,62.8,61.1,54.8,27.4,25.66,27.78
ANGOLA,Occupancy rate / bed-places,,,Percent,46.0,71.0,79.0,82.0,96.0,97.6,84.0,79.0,77.0,75.0,78.6,67.0,75.0,79.0,78.7,80.9,74.4,54.4,52.3,44.3,22.15,19.94,21.09
ANGOLA,Average length of stay,,,Nights,,,4.0,4.0,,,,,,,,,,,,,,,,,,,
ANGUILLA,Number of establishments,,,Units,54.0,53.0,56.0,50.0,50.0,50.0,50.0,49.0,46.0,46.0,,,,,,,,,,,,,
ANGUILLA,Number of rooms,,,Units,1067.0,1069.0,1037.0,759.0,756.0,746.0,739.0,720.0,602.0,547.0,,,,,,,,,,,,,
ANGUILLA,Number of bed-places,,,Units,,,,,,,,,,,,,,,,,,,,,,,
ANGUILLA,Occupancy rate / rooms,,,Percent,,,,,,,,,,,,,,,,,,,,,,,
ANGUILLA,Occupancy rate / bed-places,,,Percent,49.4,48.8,43.95,45.5,,,,,,,,,,,,,,,,,,,
ANGUILLA,Average length of stay,,,Nights,,,,,,,,,,,,,,,,,,,,,,,
ANTIGUA AND BARBUDA,Number of establishments,,,Units,,,,,,,,,,,,,,,,,,,,,,,
ANTIGUA AND BARBUDA,Number of rooms,,,Units,,,,,3276.0,,,4157.0,4673.0,,,,,,,,,,,,,,
ANTIGUA AND BARBUDA,Number of bed-places,,,Units,,,,,,,,,6075.0,,,,,,,,,,,,,,
ANTIGUA AND BARBUDA,Occupancy rate / rooms,,,Percent,,,,,,,,66.1,63.1,58.0,55.7,57.5,58.3,58.1,58.7,57.4,58.4,60.9,,,,,
ANTIGUA AND BARBUDA,Occupancy rate / bed-places,,,Percent,,,,,,,,,65.97,,,,,,,,,,,,,,
ANTIGUA AND BARBUDA,Average length of stay,,,Nights,,,,,,,,,,,,,,,,,,,,,,,
ARGENTINA,Number of establishments,,,Units,7309.0,7773.0,7729.0,8038.0,8715.0,9466.0,10152.0,10751.0,11377.0,12124.0,12662.0,13398.0,13526.0,14907.0,15591.0,15754.0,15195.0,15615.0,15717.0,15934.0,15787.0,15894.0,15713.0
ARGENTINA,Number of rooms,,,Units,167303.0,169236.0,168871.0,174190.0,179614.0,189207.0,195465.0,202495.0,211190.0,219904.0,226789.0,233520.0,236641.0,252671.0,258129.0,261004.0,259453.0,264741.0,268199.0,271577.0,270709.0,270374.0,267778.0
ARGENTINA,Number of bed-places,,,Units,409241.0,420447.0,418522.0,434421.0,457470.0,480382.0,496171.0,517852.0,540468.0,562456.0,578697.0,603473.0,611439.0,667608.0,683454.0,691272.0,688059.0,703207.0,711101.0,724841.0,722456.0,720912.0,714353.0
ARGENTINA,Occupancy rate / rooms,,,Percent,,,,,,41.92,44.94,45.86,43.27,36.9,41.76,43.37,41.04,41.55,42.64,42.77,42.01,44.14,44.81,45.18,36.93,33.46,49.17
ARGENTINA,Occupancy rate / bed-places,,,Percent,,,,,,32.55,35.07,42.35,33.66,28.93,32.73,34.03,32.3,32.34,33.46,33.51,32.68,34.55,35.04,35.4,30.82,27.36,39.69
ARGENTINA,Average length of stay,,,Nights,,,,,,2.4,,2.35,2.34,2.29,2.38,2.35,2.37,2.36,2.4,2.39,2.37,2.3,2.35,2.33,2.73,2.53,2.51
ARMENIA,Number of establishments,,,Units,,,420.0,433.0,460.0,522.0,595.0,792.0,994.0,1039.0,1345.0,1375.0,1405.0,1430.0,1459.0,1496.0,1590.0,1643.0,1631.0,1640.0,1640.0,1664.0,1778.0
ARMENIA,Number of rooms,,,Units,,,,,,,3109.0,,,,,,13438.0,13902.0,14377.0,14500.0,14238.0,14506.0,15010.0,15134.0,15134.0,15174.0,19398.0
ARMENIA,Number of bed-places,,,Units,,,10678.0,11594.0,12504.0,14442.0,15745.0,18709.0,21040.0,23290.0,27398.0,28869.0,30379.0,31780.0,33274.0,33385.0,32629.0,33912.0,36534.0,36887.0,36887.0,37935.0,38796.0
ARMENIA,Occupancy rate / rooms,,,Percent,,,,,,,,,,,,,,,,,,,,,,,
ARMENIA,Occupancy rate / bed-places,,,Percent,51.0,24.0,25.0,50.0,58.0,59.0,61.0,64.0,69.0,66.0,73.0,81.0,83.0,87.0,88.0,89.0,89.0,89.0,89.0,89.0,,89.0,89.0
ARMENIA,Average length of stay,,,Nights,6.5,6.5,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,,11.0,11.0
ARUBA,Number of establishments,,,Units,,,,,,,,,,,,,,,,,,,,,,,
ARUBA,Number of rooms,,,Units,7783.0,7783.0,7040.0,7731.0,7206.0,7966.0,9062.0,9062.0,9856.0,9856.0,9856.0,9984.0,9984.0,9402.0,11075.0,11075.0,11075.0,11929.0,11929.0,11929.0,11929.0,11929.0,11929.0
ARUBA,Number of bed-places,,,Units,15566.0,15566.0,14080.0,15462.0,14412.0,15932.0,18124.0,18124.0,19712.0,19712.0,19712.0,19964.0,19964.0,18804.0,22150.0,22150.0,22150.0,23858.0,23858.0,23858.0,23858.0,23858.0,23858.0
ARUBA,Occupancy rate / rooms,,,Percent,74.04,74.27,69.8,74.4,80.7,81.7,76.8,77.8,76.6,74.7,76.8,77.7,78.8,73.2,,,,,,,,,
ARUBA,Occupancy rate / bed-places,,,Percent,,,,,,,,,,,,,,,,,,,,,,,
ARUBA,Average length of stay,,,Nights,,,,,,,,,,,,,,,,,,,,,,,
AUSTRALIA,Number of establishments,,,Units,,,,,,,4195.0,4235.0,4277.0,4310.0,4279.0,4216.0,4233.0,4237.0,4204.0,4464.0,4445.0,5189.0,5256.0,5637.0,5615.0,5960.0,5945.0
AUSTRALIA,Number of rooms,,,Units,194926.0,198133.0,196431.0,204461.0,205495.0,232077.0,215172.0,218317.0,223319.0,226434.0,227320.0,226557.0,227168.0,230064.0,229646.0,248573.0,249131.0,274953.0,284680.0,296452.0,291041.0,304182.0,316146.0
AUSTRALIA,Number of bed-places,,,Units,567546.0,571560.0,563779.0,580252.0,586217.0,659731.0,619120.0,624751.0,637147.0,640139.0,640454.0,636002.0,631351.0,632257.0,635130.0,678361.0,676638.0,,,,,,
AUSTRALIA,Occupancy rate / rooms,,,Percent,58.1,57.3,58.7,63.5,63.7,64.5,66.9,66.8,65.1,64.7,66.3,67.3,63.1,62.0,61.5,62.4,63.9,75.2,76.0,73.8,42.61,47.0,66.5
