Country,Indicators,,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFGHANISTAN,Total,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,Personal,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,Business and professional,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ALBANIA,Total,,Thousands,295.0,340.0,470.0,558.0,645.0,748.0,937.0,1126.0,1419.0,1856.0,2417.0,2932.0,3514.0,3256.0,3672.6,4131.3,4735.5,5118.0,5926.8,6406.0,2657.8,5688.599999999999,7543.8
ALBANIA,Personal,,Thousands,218.0,243.0,370.0,470.0,582.0,680.0,889.0,1060.0,1340.0,1804.0,2370.0,2889.0,3472.0,3206.0,3624.4,4089.2,4676.8,5049.5,5839.6,6304.8,2542.5,5588.4,7437.5
ALBANIA,Business and professional,,Thousands,77.0,97.0,100.0,88.0,63.0,68.0,48.0,66.0,79.0,52.0,47.0,43.0,42.0,50.0,48.2,42.1,58.7,68.5,87.2,101.2,115.3,100.2,106.3
ALGERIA,Total,,Thousands,,,,305.0,368.0,441.0,467.0,511.0,556.0,656.0,655.0,902.0,982.0,964.0,940.2,1083.0,1322.6999999999998,1708.0,2018.8,1933.8,510.1,67.0,757.4000000000001
ALGERIA,Personal,,Thousands,,,,240.0,267.0,323.0,321.0,326.0,359.0,429.0,377.0,630.0,702.0,672.0,611.6,723.0,942.3,1470.0,1837.7,1775.7,474.5,21.6,701.2
ALGERIA,Business and professional,,Thousands,,,,65.0,101.0,118.0,146.0,185.0,197.0,227.0,278.0,272.0,280.0,292.0,328.6,360.0,380.4,238.0,181.1,158.1,35.6,45.4,56.2
AMERICAN SAMOA,Total,,Thousands,44.0,36.0,,,,24.5,25.299999999999997,24.099999999999998,24.282999999999998,23.544,23.099,22.596000000000004,22.579,20.8,21.6,20.299999999999997,20.1,19.999999999999996,20.188000000000002,,,,
AMERICAN SAMOA,Personal,,Thousands,34.0,28.3,,,,20.1,20.7,18.9,18.945999999999998,17.137,17.226,17.182000000000002,17.069,16.6,17.5,16.299999999999997,16.6,16.799999999999997,16.64,,,,
AMERICAN SAMOA,Business and professional,,Thousands,10.0,7.7,,,,4.4,4.6,5.2,5.337,6.407,5.873,5.414,5.51,4.2,4.1,4.0,3.5,3.2,3.548,,,,
ANDORRA,Total,,Thousands,,11351.0,11508.0,11601.0,11669.0,11050.0,10737.0,10744.0,10194.0,9112.0,8551.0,7983.0,7900.0,7676.0,7797.0,7850.4,8025.3,8152.099999999999,8328.3,8235.0,5206.599999999999,5422.0,8426.699999999999
ANDORRA,Personal,,Thousands,,10687.0,10907.0,10975.0,10978.0,10405.0,10244.0,10288.0,9798.0,8616.0,7959.0,7896.0,7814.0,7569.0,7680.0,7677.7,7880.8,8021.7,8153.4,8045.6,4886.9,5242.0,8202.9
ANDORRA,Business and professional,,Thousands,,664.0,601.0,626.0,691.0,645.0,493.0,456.0,396.0,496.0,592.0,87.0,86.0,107.0,117.0,172.7,144.5,130.4,174.9,189.4,319.7,180.0,223.8
ANGOLA,Total,,Thousands,51.0,67.0,91.0,107.0,194.0,210.0,122.0,194.0,294.0,365.0,425.0,481.0,528.0,650.0,595.0,592.4,397.4,260.9,217.89999999999998,217.5,63.599999999999994,63.7,129.0
ANGOLA,Personal,,Thousands,46.0,56.0,62.0,88.0,173.0,182.0,98.0,166.0,235.0,289.0,313.0,246.0,289.0,386.0,360.0,320.0,290.8,187.3,167.2,168.0,57.3,57.6,92.0
