Country,Indicators,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFGHANISTAN,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,Africa,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,Americas,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,East Asia and the Pacific,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,Europe,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,Middle East,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,South Asia,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,Other not classified,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,"of which, nationals residing abroad",Thousands,,,,,,,,,,,,,,,,,,,,,,,
ALBANIA,Total,Thousands,316.59999999999997,342.40000000000003,470.5,557.6,645.6,747.6,936.6,1126.7,1418.8,1854.9,2416.8,2931.5,3514.0,3256.2,3672.7999999999997,4131.2,4735.5,5117.7,5926.8,6406.1,2657.8,5688.599999999999,7543.699999999999
ALBANIA,Africa,Thousands,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.2,3.0,0.5,1.0,1.0,1.0,3.0,2.4,2.8,3.5,24.3,1.7,3.2,4.6
ALBANIA,Americas,Thousands,14.0,14.0,16.0,19.0,26.0,35.0,42.0,52.0,61.0,60.0,62.0,70.0,74.0,73.3,90.0,96.8,105.0,125.3,148.8,156.7,30.0,115.8,177.4
ALBANIA,East Asia and the Pacific,Thousands,2.0,2.0,3.0,4.0,4.0,5.0,8.0,10.0,15.0,28.0,11.0,17.0,20.0,23.6,31.0,33.0,36.3,54.4,68.1,68.2,5.0,8.4,26.8
ALBANIA,Europe,Thousands,295.0,320.0,439.0,532.0,610.0,703.0,857.0,1061.0,1335.0,1513.0,2239.0,2739.0,3214.0,2963.6,3423.7,3759.4,4490.6,4694.3,5331.6,5796.1,2616.9,5172.8,6921.7
ALBANIA,Middle East,Thousands,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.6,3.6,4.8,5.6,7.2,11.7,1.8,37.0,41.9
ALBANIA,South Asia,Thousands,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.7,0.8,1.0,1.0,1.0,1.3,1.6,2.0,2.4,3.1,13.5,0.8,21.0,10.9
ALBANIA,Other not classified,Thousands,4.0,5.0,11.0,1.0,4.0,3.0,28.0,2.0,6.0,252.0,100.0,103.0,202.0,189.7,123.2,233.8,94.4,232.9,364.5,335.6,1.6,330.4,360.4
ALBANIA,"of which, nationals residing abroad",Thousands,,,,,,,,,,,,,,,,,,,,,,,
ALGERIA,Total,Thousands,866.0,901.0,987.0,1166.0,1233.0,1443.0,1638.0,1743.0,1772.0,1912.0,2070.0,2394.0,2634.0,2732.6,2301.4,1710.0,2039.4,2450.7999999999997,2657.1000000000004,2371.0,591.0,125.0,1398.1
ALGERIA,Africa,Thousands,56.0,63.0,72.0,112.0,131.0,161.0,160.0,158.0,194.0,258.0,311.0,554.0,635.0,591.0,541.6,659.0,900.6,1176.6,1428.7,1478.4,409.9,13.7,539.3
ALGERIA,Americas,Thousands,3.0,3.0,5.0,5.0,7.0,8.0,10.0,10.0,11.0,13.0,10.0,12.0,12.0,9.6,10.3,10.0,12.2,13.1,20.8,16.1,3.3,2.0,11.6
ALGERIA,East Asia and the Pacific,Thousands,5.0,5.0,9.0,8.0,9.0,15.0,19.0,27.0,39.0,47.0,42.0,55.0,55.0,46.2,49.8,75.0,57.5,63.2,84.7,67.6,11.8,10.2,21.5
ALGERIA,Europe,Thousands,99.0,107.0,140.0,157.0,198.0,228.0,253.0,271.0,268.0,284.0,242.0,219.0,240.0,244.7,257.6,289.0,310.8,375.7,427.1,321.3,71.7,34.4,139.7
ALGERIA,Middle East,Thousands,13.0,18.0,24.0,23.0,23.0,29.0,37.0,45.0,45.0,54.0,50.0,61.0,40.0,72.5,80.9,50.0,41.6,79.8,57.4,50.3,13.0,6.7,45.3
ALGERIA,South Asia,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ALGERIA,Other not classified,Thousands,690.0,705.0,737.0,861.0,865.0,1002.0,1159.0,1232.0,1215.0,1256.0,1415.0,1493.0,1652.0,1768.6,1361.2,627.0,716.7,742.4,638.4,437.3,81.3,58.0,640.7
ALGERIA,"of which, nationals residing abroad",Thousands,690.0,705.0,737.0,861.0,865.0,1002.0,1159.0,1232.0,1215.0,1256.0,1415.0,1493.0,1652.0,1768.6,1361.2,627.0,717.0,742.0,638.0,437.0,81.0,58.0,640.7
AMERICAN SAMOA,Total,Thousands,43.9,35.9,,,,24.399999999999995,25.3,,24.273000000000003,23.451,23.067000000000004,22.580000000000002,22.573000000000004,20.8,21.6,20.3,20.1,20.0,20.200000000000003,,,,
AMERICAN SAMOA,Africa,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AMERICAN SAMOA,Americas,Thousands,8.0,7.3,,,,6.9,7.2,,7.638,7.876,8.0,7.1,6.9,5.4,4.8,4.7,4.6,4.9,4.5,,,,
AMERICAN SAMOA,East Asia and the Pacific,Thousands,35.0,28.1,,,,16.9,17.6,,16.148,15.165,14.6,15.0,15.2,14.9,16.3,15.1,14.9,14.5,15.1,,,,
AMERICAN SAMOA,Europe,Thousands,0.9,0.5,,,,0.4,0.4,,0.387,0.41,0.367,0.38,0.373,0.4,0.4,0.4,0.5,0.5,0.5,,,,
AMERICAN SAMOA,Middle East,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AMERICAN SAMOA,South Asia,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AMERICAN SAMOA,Other not classified,Thousands,,,,,,0.2,0.1,,0.1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,
AMERICAN SAMOA,"of which, nationals residing abroad",Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANDORRA,Total,Thousands,,,,,,,,,,,,,2238.0,2328.0,2363.0,2663.3,2818.9,3002.9,3042.0,3090.0,1871.5,1948.8,3555.1
ANDORRA,Africa,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANDORRA,Americas,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANDORRA,East Asia and the Pacific,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANDORRA,Europe,Thousands,,,,,,,,,,,,,2202.0,2283.0,2330.0,2596.8,2741.1,2921.6,2959.0,3006.4,1832.3,1902.0,3411.6
ANDORRA,Middle East,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANDORRA,South Asia,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANDORRA,Other not classified,Thousands,,,,,,,,,,,,,36.0,45.0,33.0,66.5,77.8,81.3,83.0,83.6,39.2,46.8,143.5
