Country,Indicators,,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFGHANISTAN,Total,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,Air,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,Water,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,Land,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ALBANIA,Total,,Thousands,317.0,354.0,470.0,558.0,646.0,748.0,937.0,1126.0,1419.0,1856.0,2417.0,2932.0,3514.0,3256.0,3672.7,4131.0,4736.0,5117.6,5926.799999999999,6406.1,2657.8,5688.700000000001,7543.799999999999
ALBANIA,Air,,Thousands,72.0,91.0,80.0,87.0,103.0,128.0,151.0,182.0,206.0,227.0,246.0,267.0,273.0,314.0,337.2,401.0,457.0,577.8,691.6,783.9,269.8,764.7,1250.0
ALBANIA,Water,,Thousands,79.0,103.0,111.0,120.0,139.0,130.0,141.0,162.0,189.0,215.0,216.0,191.0,180.0,182.0,198.0,211.0,276.0,393.0,439.3,468.4,64.1,205.9,383.9
ALBANIA,Land,,Thousands,166.0,160.0,279.0,351.0,404.0,490.0,645.0,782.0,1024.0,1414.0,1955.0,2474.0,3061.0,2760.0,3137.5,3519.0,4003.0,4146.8,4795.9,5153.8,2323.9,4718.1,5909.9
ALGERIA,Total,,Thousands,866.0,901.0,988.0,,,,,,,,,,,,,,,,,,,,
ALGERIA,Air,,Thousands,382.0,403.0,456.0,,,,,,,,,,,,,,,,,,,,
ALGERIA,Water,,Thousands,201.0,203.0,322.0,,,,,,,,,,,,,,,,,,,,
ALGERIA,Land,,Thousands,283.0,295.0,210.0,,,,,,,,,,,,,,,,,,,,
AMERICAN SAMOA,Total,,Thousands,,,,,,,,,24.200000000000003,23.6,23.1,22.6,22.6,20.8,21.6,20.299999999999997,20.1,20.0,20.2,,,,
AMERICAN SAMOA,Air,,Thousands,,,,,,,,,18.8,20.1,19.6,19.3,19.3,17.6,16.6,16.4,15.8,16.4,17.4,,,,
AMERICAN SAMOA,Water,,Thousands,,,,,,,,,5.4,3.5,3.5,3.3,3.3,3.2,5.0,3.9,4.3,3.6,2.8,,,,
AMERICAN SAMOA,Land,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANDORRA,Total,,Thousands,10991.0,11351.0,11507.0,11601.0,11668.0,11049.0,10737.0,10743.0,10194.0,9112.0,8551.0,7983.0,7900.0,7676.0,7797.0,7850.0,8025.0,8152.0,8328.0,8235.0,5207.0,5422.0,8426.7
ANDORRA,Air,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANDORRA,Water,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANDORRA,Land,,Thousands,10991.0,11351.0,11507.0,11601.0,11668.0,11049.0,10737.0,10743.0,10194.0,9112.0,8551.0,7983.0,7900.0,7676.0,7797.0,7850.0,8025.0,8152.0,8328.0,8235.0,5207.0,5422.0,8426.7
ANGOLA,Total,,Thousands,50.0,67.0,91.0,107.0,194.0,210.0,121.0,194.0,294.0,366.0,425.0,481.0,528.0,650.0,595.0,592.0,397.0,261.0,218.0,218.0,64.0,64.0,130.0
ANGOLA,Air,,Thousands,48.0,58.0,61.0,83.0,144.0,153.0,120.0,172.0,294.0,366.0,425.0,481.0,528.0,650.0,595.0,592.0,397.0,261.0,218.0,218.0,64.0,64.0,130.0
ANGOLA,Water,,Thousands,,1.0,3.0,3.0,4.0,5.0,,18.0,,,,,,,,,,,,,,,
ANGOLA,Land,,Thousands,2.0,8.0,27.0,21.0,46.0,52.0,1.0,4.0,,,,,,,,,,,,,,,
ANGUILLA,Total,,Thousands,112.0,105.0,111.0,109.0,121.0,143.0,167.0,164.0,128.0,112.0,118.0,124.0,129.0,151.0,177.0,186.0,176.0,150.6,87.4,166.39999999999998,41.1,28.7,95.69999999999999
ANGUILLA,Air,,Thousands,28.0,32.0,30.0,28.0,24.0,32.0,33.0,35.0,27.0,17.0,17.0,18.0,15.0,15.0,14.0,13.0,13.1,13.1,13.4,16.7,5.2,7.8,28.1
ANGUILLA,Water,,Thousands,84.0,73.0,81.0,81.0,97.0,111.0,134.0,129.0,101.0,95.0,101.0,106.0,114.0,136.0,163.0,173.0,162.9,137.5,74.0,149.7,35.9,20.9,67.6
ANGUILLA,Land,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ANTIGUA AND BARBUDA,Total,,Thousands,634.0,602.0,508.0,608.0,769.0,712.0,838.0,935.0,863.0,944.0,788.0,847.5,819.0,777.0,771.0,894.0,874.0,1040.3,1064.0,1035.0,275.9,250.0,642.0
ANTIGUA AND BARBUDA,Air,,Thousands,207.0,193.0,198.0,224.0,246.0,245.0,254.0,262.0,266.0,234.0,230.0,241.0,247.0,243.0,249.0,250.0,265.0,247.3,269.0,301.0,125.1,169.4,265.0
ANTIGUA AND BARBUDA,Water,,Thousands,427.0,409.0,310.0,384.0,523.0,467.0,584.0,673.0,597.0,710.0,558.0,606.5,572.0,534.0,522.0,644.0,609.0,793.0,795.0,734.0,150.8,80.6,377.0
ANTIGUA AND BARBUDA,Land,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ARGENTINA,Total,,Thousands,2909.0,2620.0,2820.0,2996.0,3457.0,3823.0,4173.0,4562.0,4700.0,4307.0,6799.700000000001,6703.0,6497.2,6510.4,7165.4,6815.8,6668.3,6711.3,6941.8,7399.0,2089.5,297.4,3889.8
ARGENTINA,Air,,Thousands,1192.0,998.0,928.0,1227.0,1666.0,2069.0,2279.0,2566.0,2586.0,2220.0,2865.4,2884.8,2763.9,2530.0,2609.0,2425.9,2390.0,2567.0,2760.0,3065.2,694.3,211.1,1691.1
ARGENTINA,Water,,Thousands,389.0,300.0,275.0,339.0,274.0,318.0,391.0,453.0,492.0,457.0,1031.4,1012.2,973.6,1047.6,997.3,1003.1,1018.9,1032.5,1036.8,1094.7,358.0,28.3,566.4
ARGENTINA,Land,,Thousands,1328.0,1322.0,1617.0,1430.0,1517.0,1436.0,1503.0,1543.0,1622.0,1630.0,2902.9,2806.0,2759.7,2932.8,3559.1,3386.8,3259.4,3111.8,3145.0,3239.1,1037.2,58.0,1632.3
ARMENIA,Total,,Thousands,45.0,124.0,162.0,206.0,262.0,318.0,381.0,511.0,558.0,575.0,683.0,758.0,963.0,1084.0,1204.0,1192.1,1259.6999999999998,1494.8000000000002,1651.8,1894.0,375.20000000000005,870.4000000000001,1665.6999999999998
ARMENIA,Air,,Thousands,39.0,107.0,135.0,173.0,196.0,225.0,270.0,344.0,371.0,382.0,460.0,503.0,564.0,618.0,701.0,693.1,740.3,765.6,806.0,980.0,198.8,648.7,1054.3
ARMENIA,Water,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ARMENIA,Land,,Thousands,6.0,17.0,27.0,33.0,66.0,93.0,111.0,167.0,187.0,193.0,223.0,255.0,399.0,466.0,503.0,499.0,519.4,729.2,845.8,914.0,176.4,221.70000000000002,611.4
